"";"formaal";"reisetid";"reisemiddel";"ind";"NR";"dato";"arbeidsplass";"student";"fastoppmoete";"hjemmekontor";"arbeidstid";"yrke";"kjoenn";"alder";"alderskategori";"barn";"voksne";"totmedlem";"husholdning";"Kommunenavn";"fylke";"day";"hverdag";"antall_reiser";"tottid";"tellekategori";"annerledes_janei";"mindrekollektiv";"annettidspunkt";"mer_bil";"mer_sykkelgange";"monthyear";"tidskategori";"ID";"car_driver_boo"
"773";"Freetime activities";7;"By foot";"delreise 1.1";10752011;"2020-11-14";NA;"Student";NA;NA;NA;"Student, higher education";"Female";22;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Sat";"Weekend";5;394;"5-6 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";10752011;0
"774";"School/university";30;"By foot";"delreise 1.1";10763818;"2020-11-15";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";3;4;7;"Several adults";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";2;60;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";10763818;0
"775";"School/university";6;"By foot";"delreise 1.1";10768219;"2020-11-16";NA;"Student";NA;NA;NA;"Student, higher education";"Male";19;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";4;23;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";10768219;0
"776";"Undirected round trips";30;"By foot";"delreise 1.1";10769701;"2020-11-15";"Office job, research, administration";"Not student";NA;NA;"Different schedule";"Full-time";"Female";24;"18 - 24";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";3;40;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";10769701;0
"777";"To/from workplace";27;"Pedal bike";"delreise 1.1";10779876;"2020-11-16";"Office job, research, administration";"Not student";NA;NA;"Different schedule";"Full-time";"Female";24;"18 - 24";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";4;83;"3-4 trips";"Ja";1;0;0;1;"Nov'20";"15 - 30 min";10779876;0
"778";"School/university";4;"Pedal bike";"delreise 1.1";10784816;"2020-11-16";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;5;5;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";4;48;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";10784816;0
"779";"Freetime activities";180;"Car, driver";"delreise 1.1";10788133;"2020-11-17";NA;"Student";NA;NA;NA;"Student, higher education";"Female";22;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";2;360;"1-2 trips";"Ja";0;0;0;0;"Nov'20";"> 2 hours";10788133;1
"780";"To/from workplace";5;"By foot";"delreise 1.1";10789835;"2020-11-16";"Healthcare";"Not student";NA;NA;"Shift work, rotating shifts";"Part-time";"Female";33;"25 - 34";3;3;6;"Couple w/ children 0-17 y/o";"BEIARN";"NORDLAND";"Mon";"Weekday";3;9;"3-4 trips";"Ja";0;0;0;0;"Nov'20";"< 5 min";10789835;0
"781";"Shopping/grocery/service";12;"By foot";"delreise 1.1";10795885;"2020-11-16";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";4;42;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"10 - 15 min";10795885;0
"782";"Freetime activities";150;"Public transportation";"delreise 1.1";10814649;"2020-11-17";NA;"Not student";NA;NA;NA;"Pensioner";"Female";70;"67 - 74";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";1;150;"1-2 trips";"Ja";0;0;0;0;"Nov'20";"> 2 hours";10814649;0
"783";"School/university";5;"Pedal bike";"delreise 1.1";10814955;"2020-11-17";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";0;2;2;"Couple w/o children";NA;NA;"Tue";"Weekday";2;10;"1-2 trips";"Ja";0;0;0;0;"Nov'20";"< 5 min";10814955;0
"784";"School/university";10;"Pedal bike";"delreise 1.1";10817323;"2020-11-17";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";4;34;"3-4 trips";"Ja";0;0;0;0;"Nov'20";"5 - 10 min";10817323;0
"785";"Freetime activities";4;"Pedal bike";"delreise 1.1";10818739;"2020-11-17";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";2;8;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";10818739;0
"786";"School/university";12;"Public transportation";"delreise 1.1";10820562;"2020-11-17";NA;"Student";NA;NA;NA;"Student, higher education";"Female";19;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";4;55;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"10 - 15 min";10820562;0
"787";"School/university";5;"Pedal bike";"delreise 1.1";10822098;"2020-11-17";NA;"Student";NA;NA;NA;"Student, higher education";"Male";21;"18 - 24";0;2;2;"Several adults";"VESTNES";"MOERE OG ROMSDAL";"Tue";"Weekday";2;15;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";10822098;0
"788";"School/university";15;"Public transportation";"delreise 1.1";10836265;"2020-11-18";NA;"Student";NA;NA;NA;"Student, higher education";"Female";25;"25 - 34";3;5;8;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";5;43;"5-6 trips";"Nei";0;0;0;0;"Nov'20";"10 - 15 min";10836265;0
"789";"School/university";10;"Public transportation";"delreise 1.1";10836749;"2020-11-18";NA;"Student";NA;NA;NA;"Student, higher education";"Male";22;"18 - 24";3;4;7;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";2;20;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";10836749;0
"790";"Pick up/drop off trip";13;"Car, driver";"delreise 1.1";10840540;"2020-11-18";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";46;"45 - 54";2;3;5;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";1;13;"1-2 trips";"Ja";1;0;1;0;"Nov'20";"10 - 15 min";10840540;1
"791";"School/university";30;"By foot";"delreise 1.1";10850400;"2020-11-18";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";2;60;"1-2 trips";"Ja";0;0;0;0;"Nov'20";"15 - 30 min";10850400;0
"792";"School/university";20;"Public transportation";"delreise 1.1";10854917;"2020-11-18";NA;"Student";NA;NA;NA;"Student, higher education";"Female";22;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";2;40;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";10854917;0
"793";"School/university";1;"By foot";"delreise 1.1";10855146;"2020-10-18";NA;"Student";NA;NA;NA;"Student, higher education";"Female";22;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";3;11;"3-4 trips";"Ja";0;0;0;0;"Oct'20";"< 5 min";10855146;0
"794";"School/university";10;"By foot";"delreise 1.1";10855549;"2020-11-18";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";3;5;8;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";4;50;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";10855549;0
"795";"School/university";10;"Car, driver";"delreise 1.1";10858320;"2020-11-19";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";4;61;"3-4 trips";"Ja";1;0;1;0;"Nov'20";"5 - 10 min";10858320;1
"796";"School/university";10;"By foot";"delreise 1.1";10861316;"2020-11-19";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";3;90;"3-4 trips";"Ja";0;0;0;0;"Nov'20";"5 - 10 min";10861316;0
"797";"Undirected round trips";43;"By foot";"delreise 1.1";10863130;"2020-11-19";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;7;7;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";3;73;"3-4 trips";"Ja";1;0;0;0;"Nov'20";"30 - 60 min";10863130;0
"798";"Freetime activities";3;"By foot";"delreise 1.1";10863142;"2020-11-19";NA;"Student";NA;NA;NA;"Student, higher education";"Female";32;"25 - 34";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";7;41;"7+ trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";10863142;0
"799";"School/university";20;"Public transportation";"delreise 1.1";10863820;"2020-11-19";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";2;4;6;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";4;105;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";10863820;0
"800";"Undirected round trips";35;"By foot";"delreise 1.1";10864378;"2020-11-19";NA;"Student";NA;NA;NA;"Student, higher education";"Male";20;"18 - 24";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";1;70;"1-2 trips";"Ja";0;0;0;1;"Nov'20";"30 - 60 min";10864378;0
"801";"Shopping/grocery/service";10;"By foot";"delreise 1.1";10866573;"2020-11-19";"Office job, research, administration";"Not student";NA;NA;"Different schedule";"Full-time";"Female";24;"18 - 24";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";3;56;"3-4 trips";"Ja";1;0;0;0;"Nov'20";"5 - 10 min";10866573;0
"802";"School/university";50;"By foot";"delreise 1.1";10874799;"2020-11-20";NA;"Student";NA;NA;NA;"Student, higher education";"Female";25;"25 - 34";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";2;100;"1-2 trips";"Ja";1;0;0;0;"Nov'20";"30 - 60 min";10874799;0
"803";"School/university";10;"By foot";"delreise 1.1";10878397;"2020-11-20";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";5;31;"5-6 trips";"Ja";1;0;0;0;"Nov'20";"5 - 10 min";10878397;0
"804";"Undirected round trips";20;"By foot";"delreise 1.1";10882613;"2020-11-20";"Office job, research, administration";"Not student";NA;NA;"Different schedule";"Full-time";"Female";24;"18 - 24";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";3;40;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";10882613;0
"805";"To/from workplace";9;"Car, driver";"delreise 1.1";10882910;"2020-11-21";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";39;"35 - 44";2;3;5;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Sat";"Weekend";3;21;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";10882910;1
"806";"Undirected round trips";30;"By foot";"delreise 1.1";10887031;"2020-11-19";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;1;1;"Single w/o children";NA;NA;"Thu";"Weekday";1;60;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";10887031;0
"807";"School/university";15;"By foot";"delreise 1.1";10890426;"2020-11-21";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Sat";"Weekend";3;40;"3-4 trips";"Ja";1;0;0;0;"Nov'20";"10 - 15 min";10890426;0
"808";"School/university";5;"By foot";"delreise 1.1";10900609;"2020-11-22";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;6;6;"Several adults";NA;NA;"Sun";"Weekend";2;10;"1-2 trips";"Ja";0;0;0;0;"Nov'20";"< 5 min";10900609;0
"809";"Freetime activities";10;"Car, passenger";"delreise 1.1";10906500;"2020-11-22";NA;"Not student";NA;NA;NA;"Care work, unemployment";"Female";34;"25 - 34";1;1;2;"Single w/ children 0-17 y/o";NA;NA;"Sun";"Weekend";2;20;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";10906500;0
"810";"Undirected round trips";60;"By foot";"delreise 1.1";10907490;"2020-11-22";"Office job, research, administration";"Not student";NA;NA;"Different schedule";"Part-time";"Female";50;"45 - 54";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";1;120;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"30 - 60 min";10907490;0
"811";"School/university";15;"Public transportation";"delreise 1.1";10918152;"2020-11-23";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";3;50;"3-4 trips";"Ja";0;0;0;0;"Nov'20";"10 - 15 min";10918152;0
"812";"School/university";20;"Public transportation";"delreise 1.1";10918633;"2020-11-23";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";2;35;"1-2 trips";"Ja";1;1;0;0;"Nov'20";"15 - 30 min";10918633;0
"813";"Shopping/grocery/service";5;"Public transportation";"delreise 1.1";10946306;"2020-11-24";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";3;20;"3-4 trips";"Ja";1;0;0;0;"Nov'20";"< 5 min";10946306;0
"814";"Undirected round trips";22;"By foot";"delreise 1.1";10952127;"2020-11-24";NA;"Student";NA;NA;NA;"Student, higher education";"Male";22;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";3;28;"3-4 trips";"Ja";0;0;0;0;"Nov'20";"15 - 30 min";10952127;0
"815";"School/university";5;"Pedal bike";"delreise 1.1";10954180;"2020-11-24";NA;"Student";NA;NA;NA;"Student, higher education";"Male";21;"18 - 24";3;4;7;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";2;10;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";10954180;0
"816";"To/from workplace";8;"Pedal bike";"delreise 1.1";11016633;"2020-11-24";"Healthcare";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";52;"45 - 54";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";3;48;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";11016633;0
"817";"To/from workplace";25;"By foot";"delreise 1.1";11035457;"2020-11-25";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";24;"18 - 24";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";5;63;"5-6 trips";"Ja";1;0;0;0;"Nov'20";"15 - 30 min";11035457;0
"818";"Freetime activities";10;"Pedal bike";"delreise 1.1";11035525;"2020-11-25";"Healthcare";"Not student";NA;NA;"Shift work, rotating shifts";"Part-time";"Female";22;"18 - 24";0;4;4;"Several adults";NA;NA;"Wed";"Weekday";3;30;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";11035525;0
"819";"Undirected round trips";90;"By foot";"delreise 1.1";11036951;"2020-11-25";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";3;120;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"1 - 2 hours";11036951;0
"820";"To/from workplace";30;"Public transportation";"delreise 1.1";11037105;"2020-11-25";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";35;"35 - 44";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";2;50;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";11037105;0
"821";"Freetime activities";30;"By foot";"delreise 1.1";11040543;"2020-11-25";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";2;60;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";11040543;0
"822";"School/university";5;"Pedal bike";"delreise 1.1";11070043;"2020-11-26";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";2;3;5;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";5;39;"5-6 trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";11070043;0
"823";"To/from workplace";23;"Electrical bike";"delreise 1.1";11071953;"2020-11-26";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";37;"35 - 44";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";2;48;"1-2 trips";"Ja";1;0;0;1;"Nov'20";"15 - 30 min";11071953;0
"824";"School/university";5;"By foot";"delreise 1.1";11123727;"2020-11-27";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";4;28;"3-4 trips";"Ja";1;0;0;0;"Nov'20";"< 5 min";11123727;0
"825";"To/from workplace";30;"Public transportation";"delreise 1.1";11125991;"2020-11-27";NA;"Student";NA;NA;NA;"Student, higher education";"Male";23;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";4;136;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";11125991;0
"826";"School/university";10;"Public transportation";"delreise 1.1";11126270;"2020-11-27";NA;"Student";NA;NA;NA;"Student, higher education";"Male";20;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";2;20;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";11126270;0
"827";"School/university";15;"Electrical bike";"delreise 1.1";11135349;"2020-11-28";NA;"Student";NA;NA;NA;"Student, higher education";"Male";22;"18 - 24";1;2;3;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Sat";"Weekend";4;80;"3-4 trips";"Ja";1;0;0;1;"Nov'20";"10 - 15 min";11135349;0
"828";"To/from workplace";5;"Car, passenger";"delreise 1.1";11173561;"2020-11-29";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";3;84;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";11173561;0
"829";"Pick up/drop off trip";10;"Car, driver";"delreise 1.1";11181715;"2020-11-30";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Male";41;"35 - 44";1;2;3;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";5;105;"5-6 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";11181715;1
"830";"School/university";5;"Public transportation";"delreise 1.1";11188700;"2020-11-30";NA;"Student";NA;NA;NA;"Student, higher education";"Male";20;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";2;10;"1-2 trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";11188700;0
"831";"Shopping/grocery/service";30;"Public transportation";"delreise 1.1";11191495;"2020-11-30";NA;"Student";NA;NA;NA;"Student, higher education";"Female";22;"18 - 24";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";4;60;"3-4 trips";"Ja";1;0;0;1;"Nov'20";"15 - 30 min";11191495;0
"832";"Freetime activities";15;"By foot";"delreise 1.1";11193322;"2020-11-30";"Education and kindergarten";"Not student";NA;NA;"Different schedule";"Part-time";"Female";23;"18 - 24";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";3;110;"3-4 trips";"Ja";0;0;0;0;"Nov'20";"10 - 15 min";11193322;0
"833";"School/university";11;"Car, driver";"delreise 1.1";11196420;"2020-11-30";NA;"Student";NA;NA;NA;"Student, higher education";"Female";22;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";4;55;"3-4 trips";"Ja";1;0;1;0;"Nov'20";"10 - 15 min";11196420;1
"834";"To/from workplace";20;"Car, driver";"delreise 1.1";11211516;"2020-12-01";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";5;80;"5-6 trips";"Nei";0;0;0;0;"Dec'20";"15 - 30 min";11211516;1
"835";"Shopping/grocery/service";3;"By foot";"delreise 1.1";11224916;"2020-12-02";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";4;28;"3-4 trips";"Nei";0;0;0;0;"Dec'20";"< 5 min";11224916;0
"836";"School/university";12;"By foot";"delreise 1.1";11225760;"2020-12-02";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";3;72;"3-4 trips";"Ja";0;0;0;0;"Dec'20";"10 - 15 min";11225760;0
"837";"School/university";10;"Public transportation";"delreise 1.1";11236809;"2020-12-03";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";2;25;"1-2 trips";"Nei";0;0;0;0;"Dec'20";"5 - 10 min";11236809;0
"838";"School/university";10;"By foot";"delreise 1.1";11239072;"2020-12-03";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";3;4;7;"Several adults";NA;NA;"Thu";"Weekday";3;50;"3-4 trips";"Nei";0;0;0;0;"Dec'20";"5 - 10 min";11239072;0
"839";"Shopping/grocery/service";7;"By foot";"delreise 1.1";11265476;"2020-12-04";"Healthcare";"Not student";NA;NA;"Shift work, rotating shifts";"Part-time";"Female";29;"25 - 34";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";4;44;"3-4 trips";"Nei";0;0;0;0;"Dec'20";"5 - 10 min";11265476;0
"840";"Shopping/grocery/service";5;"Public transportation";"delreise 1.1";11269043;"2020-12-04";NA;"Not student";NA;NA;NA;"Go to school";"Female";19;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";3;80;"3-4 trips";"Nei";0;0;0;0;"Dec'20";"< 5 min";11269043;0
"841";"Freetime activities";40;"By foot";"delreise 1.1";11272530;"2020-12-04";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";1;40;"1-2 trips";"Ja";1;0;0;0;"Dec'20";"30 - 60 min";11272530;0
"842";"School/university";9;"Public transportation";"delreise 1.1";11311952;"2020-12-07";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";0;6;6;"Several adults";NA;NA;"Mon";"Weekday";3;29;"3-4 trips";"Nei";0;0;0;0;"Dec'20";"5 - 10 min";11311952;0
"843";"Shopping/grocery/service";13;"By foot";"delreise 1.1";11368646;"2020-12-07";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";0;1;1;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";1;13;"1-2 trips";"Ja";0;0;0;0;"Dec'20";"10 - 15 min";11368646;0
"844";"School/university";35;"Public transportation";"delreise 1.1";11381152;"2020-12-08";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";2;70;"1-2 trips";"Nei";0;0;0;0;"Dec'20";"30 - 60 min";11381152;0
"845";"Shopping/grocery/service";30;"By foot";"delreise 1.1";11384823;"2020-12-08";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";0;5;5;"Several adults";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";5;70;"5-6 trips";"Ja";1;0;1;0;"Dec'20";"15 - 30 min";11384823;0
"846";"School/university";11;"Public transportation";"delreise 1.1";11385926;"2020-12-07";NA;"Student";NA;NA;NA;"Student, higher education";"Male";25;"25 - 34";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";2;22;"1-2 trips";"Nei";0;0;0;0;"Dec'20";"10 - 15 min";11385926;0
"847";"School/university";10;"Public transportation";"delreise 1.1";11387314;"2020-12-08";NA;"Student";NA;NA;NA;"Student, higher education";"Female";25;"25 - 34";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";4;35;"3-4 trips";"Nei";0;0;0;0;"Dec'20";"5 - 10 min";11387314;0
"848";"School/university";7;"By foot";"delreise 1.1";11402227;"2020-12-09";NA;"Student";NA;NA;NA;"Student, higher education";"Male";22;"18 - 24";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";2;14;"1-2 trips";"Ja";0;0;0;0;"Dec'20";"5 - 10 min";11402227;0
"849";"School/university";15;"Public transportation";"delreise 1.1";11402228;"2020-12-09";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";2;50;"1-2 trips";"Nei";0;0;0;0;"Dec'20";"10 - 15 min";11402228;0
"850";"School/university";15;"By foot";"delreise 1.1";11405658;"2020-11-09";NA;"Student";NA;NA;NA;"Student, higher education";"Male";27;"25 - 34";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";2;135;"1-2 trips";"Ja";0;0;0;0;"Nov'20";"10 - 15 min";11405658;0
"851";"Freetime activities";13;"Car, passenger";"delreise 1.1";11436226;"2020-12-12";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";1;2;3;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Sat";"Weekend";3;32;"3-4 trips";"Ja";0;0;0;0;"Dec'20";"10 - 15 min";11436226;0
"852";"School/university";15;"Public transportation";"delreise 1.1";11441142;"2020-12-14";NA;"Student";NA;NA;NA;"Student, higher education";"Male";21;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";2;30;"1-2 trips";"Nei";0;0;0;0;"Dec'20";"10 - 15 min";11441142;0
"853";"Freetime activities";180;"Car, driver";"delreise 1.1";11442985;"2020-12-13";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";2;360;"1-2 trips";"Nei";0;0;0;0;"Dec'20";"> 2 hours";11442985;1
